MissingRate,Mechanism,RMSE,MAE,R2
0.0,MCAR,65.24412166798814,45.745476996276594,0.5211050826038945
0.0,MAR,65.24412166798814,45.745476996276594,0.5211050826038945
0.0,MNAR,65.24412166798814,45.745476996276594,0.5211050826038945
0.1,MCAR,71.9920841725303,50.43310861345618,0.4169216137741546
0.1,MAR,69.71452011029402,49.25248854622799,0.4532309360339293
0.1,MNAR,71.20204275674051,50.10726777098003,0.4296488033881328
0.2,MCAR,78.20858846258307,55.04126546704382,0.3118765702846775
0.2,MAR,73.52275089508733,51.88890577847882,0.3918636739542858
0.2,MNAR,76.61174452770399,54.072886931101564,0.3396895756945999
0.3,MCAR,82.3493422303072,57.746537237351184,0.23708225032049335
0.3,MAR,76.19538673500824,53.98673592868056,0.34684718139105764
0.3,MNAR,79.15920036065936,56.146156160352405,0.2950468639372744
0.4,MCAR,86.26708791171156,60.77040508319643,0.16276432437478883
0.4,MAR,79.81562112406444,56.4778950624554,0.2833068636966175
0.4,MNAR,83.40069179187928,59.064467837729715,0.2174776400074766
